date_year,date_month,date_day,which_threehourly_interval,specific_observation_time,days_since_origin_threehourly_interval,days_since_origin,Kp,ap,is_definitive
2012,1,1,00.0,01.50,29220,29220.0625,1.667,6,1
2012,1,1,03.0,04.50,29220.125,29220.1875,1,4,1
2012,1,1,06.0,07.50,29220.25,29220.3125,0.667,3,1
2012,1,1,09.0,10.50,29220.375,29220.4375,0.333,2,1
2012,1,1,12.0,13.50,29220.5,29220.5625,1.667,6,1
2012,1,1,15.0,16.50,29220.625,29220.6875,1.667,6,1
2012,1,1,18.0,19.50,29220.75,29220.8125,1.333,5,1
2012,1,1,21.0,22.50,29220.875,29220.9375,1,4,1
2012,1,2,00.0,01.50,29221,29221.0625,0,0,1
2012,1,2,03.0,04.50,29221.125,29221.1875,0,0,1
2012,1,2,06.0,07.50,29221.25,29221.3125,0.333,2,1
2012,1,2,09.0,10.50,29221.375,29221.4375,0,0,1
2012,1,2,12.0,13.50,29221.5,29221.5625,1.333,5,1
2012,1,2,15.0,16.50,29221.625,29221.6875,1,4,1
2012,1,2,18.0,19.50,29221.75,29221.8125,2.333,9,1
2012,1,2,21.0,22.50,29221.875,29221.9375,2.333,9,1
2012,1,3,00.0,01.50,29222,29222.0625,3.333,18,1
2012,1,3,03.0,04.50,29222.125,29222.1875,3.667,22,1
2012,1,3,06.0,07.50,29222.25,29222.3125,1.667,6,1
2012,1,3,09.0,10.50,29222.375,29222.4375,1.333,5,1
2012,1,3,12.0,13.50,29222.5,29222.5625,1.333,5,1
2012,1,3,15.0,16.50,29222.625,29222.6875,1.667,6,1
2012,1,3,18.0,19.50,29222.75,29222.8125,1,4,1
2012,1,3,21.0,22.50,29222.875,29222.9375,1,4,1
2012,1,4,00.0,01.50,29223,29223.0625,1.667,6,1
2012,1,4,03.0,04.50,29223.125,29223.1875,0,0,1
2012,1,4,06.0,07.50,29223.25,29223.3125,0,0,1
2012,1,4,09.0,10.50,29223.375,29223.4375,0,0,1
2012,1,4,12.0,13.50,29223.5,29223.5625,0.667,3,1
2012,1,4,15.0,16.50,29223.625,29223.6875,0.333,2,1
2012,1,4,18.0,19.50,29223.75,29223.8125,0.333,2,1
2012,1,4,21.0,22.50,29223.875,29223.9375,0.667,3,1
2012,1,5,00.0,01.50,29224,29224.0625,1,4,1
2012,1,5,03.0,04.50,29224.125,29224.1875,1,4,1
2012,1,5,06.0,07.50,29224.25,29224.3125,0.667,3,1
2012,1,5,09.0,10.50,29224.375,29224.4375,0.667,3,1
2012,1,5,12.0,13.50,29224.5,29224.5625,2.667,12,1
2012,1,5,15.0,16.50,29224.625,29224.6875,1,4,1
2012,1,5,18.0,19.50,29224.75,29224.8125,1.667,6,1
2012,1,5,21.0,22.50,29224.875,29224.9375,0.667,3,1
2012,1,6,00.0,01.50,29225,29225.0625,1,4,1
2012,1,6,03.0,04.50,29225.125,29225.1875,0.667,3,1
2012,1,6,06.0,07.50,29225.25,29225.3125,0.667,3,1
2012,1,6,09.0,10.50,29225.375,29225.4375,1.333,5,1
2012,1,6,12.0,13.50,29225.5,29225.5625,1,4,1
2012,1,6,15.0,16.50,29225.625,29225.6875,2,7,1
2012,1,6,18.0,19.50,29225.75,29225.8125,2.667,12,1
2012,1,6,21.0,22.50,29225.875,29225.9375,2.667,12,1
2012,1,7,00.0,01.50,29226,29226.0625,2.667,12,1
2012,1,7,03.0,04.50,29226.125,29226.1875,1.667,6,1
2012,1,7,06.0,07.50,29226.25,29226.3125,1,4,1
2012,1,7,09.0,10.50,29226.375,29226.4375,1,4,1
2012,1,7,12.0,13.50,29226.5,29226.5625,1,4,1
2012,1,7,15.0,16.50,29226.625,29226.6875,1.333,5,1
2012,1,7,18.0,19.50,29226.75,29226.8125,1,4,1
2012,1,7,21.0,22.50,29226.875,29226.9375,2.667,12,1
2012,1,8,00.0,01.50,29227,29227.0625,1.333,5,1
2012,1,8,03.0,04.50,29227.125,29227.1875,2,7,1
2012,1,8,06.0,07.50,29227.25,29227.3125,1.333,5,1
2012,1,8,09.0,10.50,29227.375,29227.4375,0.333,2,1
2012,1,8,12.0,13.50,29227.5,29227.5625,0.333,2,1
2012,1,8,15.0,16.50,29227.625,29227.6875,0.667,3,1
2012,1,8,18.0,19.50,29227.75,29227.8125,1.667,6,1
2012,1,8,21.0,22.50,29227.875,29227.9375,1,4,1
2012,1,9,00.0,01.50,29228,29228.0625,2.333,9,1
2012,1,9,03.0,04.50,29228.125,29228.1875,2.333,9,1
2012,1,9,06.0,07.50,29228.25,29228.3125,1.667,6,1
2012,1,9,09.0,10.50,29228.375,29228.4375,1.667,6,1
2012,1,9,12.0,13.50,29228.5,29228.5625,1.333,5,1
2012,1,9,15.0,16.50,29228.625,29228.6875,2.667,12,1
2012,1,9,18.0,19.50,29228.75,29228.8125,1.333,5,1
2012,1,9,21.0,22.50,29228.875,29228.9375,2,7,1
2012,1,10,00.0,01.50,29229,29229.0625,0.667,3,1
2012,1,10,03.0,04.50,29229.125,29229.1875,1,4,1
2012,1,10,06.0,07.50,29229.25,29229.3125,0.667,3,1
2012,1,10,09.0,10.50,29229.375,29229.4375,1.667,6,1
2012,1,10,12.0,13.50,29229.5,29229.5625,2.333,9,1
2012,1,10,15.0,16.50,29229.625,29229.6875,1.333,5,1
2012,1,10,18.0,19.50,29229.75,29229.8125,1.667,6,1
2012,1,10,21.0,22.50,29229.875,29229.9375,1,4,1
2012,1,11,00.0,01.50,29230,29230.0625,2,7,1
2012,1,11,03.0,04.50,29230.125,29230.1875,2.667,12,1
2012,1,11,06.0,07.50,29230.25,29230.3125,1.333,5,1
2012,1,11,09.0,10.50,29230.375,29230.4375,0.667,3,1
2012,1,11,12.0,13.50,29230.5,29230.5625,0.667,3,1
2012,1,11,15.0,16.50,29230.625,29230.6875,1.667,6,1
2012,1,11,18.0,19.50,29230.75,29230.8125,1.667,6,1
2012,1,11,21.0,22.50,29230.875,29230.9375,1.667,6,1
2012,1,12,00.0,01.50,29231,29231.0625,2,7,1
2012,1,12,03.0,04.50,29231.125,29231.1875,1.333,5,1
2012,1,12,06.0,07.50,29231.25,29231.3125,0,0,1
2012,1,12,09.0,10.50,29231.375,29231.4375,1.333,5,1
2012,1,12,12.0,13.50,29231.5,29231.5625,1.333,5,1
2012,1,12,15.0,16.50,29231.625,29231.6875,1.333,5,1
2012,1,12,18.0,19.50,29231.75,29231.8125,2.333,9,1
2012,1,12,21.0,22.50,29231.875,29231.9375,2,7,1
2012,1,13,00.0,01.50,29232,29232.0625,2.667,12,1
2012,1,13,03.0,04.50,29232.125,29232.1875,3,15,1
2012,1,13,06.0,07.50,29232.25,29232.3125,3.333,18,1
2012,1,13,09.0,10.50,29232.375,29232.4375,1,4,1
2012,1,13,12.0,13.50,29232.5,29232.5625,0.333,2,1
2012,1,13,15.0,16.50,29232.625,29232.6875,1,4,1
2012,1,13,18.0,19.50,29232.75,29232.8125,0.333,2,1
2012,1,13,21.0,22.50,29232.875,29232.9375,0.667,3,1
2012,1,14,00.0,01.50,29233,29233.0625,0.667,3,1
2012,1,14,03.0,04.50,29233.125,29233.1875,0.333,2,1
2012,1,14,06.0,07.50,29233.25,29233.3125,0.667,3,1
2012,1,14,09.0,10.50,29233.375,29233.4375,0.333,2,1
2012,1,14,12.0,13.50,29233.5,29233.5625,0.333,2,1
2012,1,14,15.0,16.50,29233.625,29233.6875,0,0,1
2012,1,14,18.0,19.50,29233.75,29233.8125,0,0,1
2012,1,14,21.0,22.50,29233.875,29233.9375,0.333,2,1
2012,1,15,00.0,01.50,29234,29234.0625,0.333,2,1
2012,1,15,03.0,04.50,29234.125,29234.1875,1.333,5,1
2012,1,15,06.0,07.50,29234.25,29234.3125,0.333,2,1
2012,1,15,09.0,10.50,29234.375,29234.4375,0,0,1
2012,1,15,12.0,13.50,29234.5,29234.5625,0.333,2,1
2012,1,15,15.0,16.50,29234.625,29234.6875,1,4,1
2012,1,15,18.0,19.50,29234.75,29234.8125,1.667,6,1
2012,1,15,21.0,22.50,29234.875,29234.9375,2.667,12,1
2012,1,16,00.0,01.50,29235,29235.0625,2,7,1
2012,1,16,03.0,04.50,29235.125,29235.1875,1.333,5,1
2012,1,16,06.0,07.50,29235.25,29235.3125,1,4,1
2012,1,16,09.0,10.50,29235.375,29235.4375,2.333,9,1
2012,1,16,12.0,13.50,29235.5,29235.5625,3.333,18,1
2012,1,16,15.0,16.50,29235.625,29235.6875,2.333,9,1
2012,1,16,18.0,19.50,29235.75,29235.8125,3,15,1
2012,1,16,21.0,22.50,29235.875,29235.9375,1.333,5,1
2012,1,17,00.0,01.50,29236,29236.0625,3,15,1
2012,1,17,03.0,04.50,29236.125,29236.1875,2,7,1
2012,1,17,06.0,07.50,29236.25,29236.3125,0.667,3,1
2012,1,17,09.0,10.50,29236.375,29236.4375,1,4,1
2012,1,17,12.0,13.50,29236.5,29236.5625,1,4,1
2012,1,17,15.0,16.50,29236.625,29236.6875,1,4,1
2012,1,17,18.0,19.50,29236.75,29236.8125,1.667,6,1
2012,1,17,21.0,22.50,29236.875,29236.9375,1,4,1
2012,1,18,00.0,01.50,29237,29237.0625,2.333,9,1
2012,1,18,03.0,04.50,29237.125,29237.1875,0.333,2,1
2012,1,18,06.0,07.50,29237.25,29237.3125,0.333,2,1
2012,1,18,09.0,10.50,29237.375,29237.4375,1,4,1
2012,1,18,12.0,13.50,29237.5,29237.5625,0.667,3,1
2012,1,18,15.0,16.50,29237.625,29237.6875,0.667,3,1
2012,1,18,18.0,19.50,29237.75,29237.8125,0.667,3,1
2012,1,18,21.0,22.50,29237.875,29237.9375,1,4,1
2012,1,19,00.0,01.50,29238,29238.0625,0.333,2,1
2012,1,19,03.0,04.50,29238.125,29238.1875,1,4,1
2012,1,19,06.0,07.50,29238.25,29238.3125,0,0,1
2012,1,19,09.0,10.50,29238.375,29238.4375,0.667,3,1
2012,1,19,12.0,13.50,29238.5,29238.5625,0,0,1
2012,1,19,15.0,16.50,29238.625,29238.6875,1.333,5,1
2012,1,19,18.0,19.50,29238.75,29238.8125,0.333,2,1
2012,1,19,21.0,22.50,29238.875,29238.9375,0.333,2,1
2012,1,20,00.0,01.50,29239,29239.0625,2,7,1
2012,1,20,03.0,04.50,29239.125,29239.1875,2,7,1
2012,1,20,06.0,07.50,29239.25,29239.3125,1,4,1
2012,1,20,09.0,10.50,29239.375,29239.4375,0.333,2,1
2012,1,20,12.0,13.50,29239.5,29239.5625,0.333,2,1
2012,1,20,15.0,16.50,29239.625,29239.6875,1,4,1
2012,1,20,18.0,19.50,29239.75,29239.8125,1.333,5,1
2012,1,20,21.0,22.50,29239.875,29239.9375,0,0,1
2012,1,21,00.0,01.50,29240,29240.0625,2,7,1
2012,1,21,03.0,04.50,29240.125,29240.1875,2.333,9,1
2012,1,21,06.0,07.50,29240.25,29240.3125,1.333,5,1
2012,1,21,09.0,10.50,29240.375,29240.4375,1.667,6,1
2012,1,21,12.0,13.50,29240.5,29240.5625,2,7,1
2012,1,21,15.0,16.50,29240.625,29240.6875,1,4,1
2012,1,21,18.0,19.50,29240.75,29240.8125,2,7,1
2012,1,21,21.0,22.50,29240.875,29240.9375,2,7,1
2012,1,22,00.0,01.50,29241,29241.0625,0.667,3,1
2012,1,22,03.0,04.50,29241.125,29241.1875,1.333,5,1
2012,1,22,06.0,07.50,29241.25,29241.3125,4.333,32,1
2012,1,22,09.0,10.50,29241.375,29241.4375,3.667,22,1
2012,1,22,12.0,13.50,29241.5,29241.5625,4.333,32,1
2012,1,22,15.0,16.50,29241.625,29241.6875,3.667,22,1
2012,1,22,18.0,19.50,29241.75,29241.8125,4.667,39,1
2012,1,22,21.0,22.50,29241.875,29241.9375,4.667,39,1
2012,1,23,00.0,01.50,29242,29242.0625,5,48,1
2012,1,23,03.0,04.50,29242.125,29242.1875,3.667,22,1
2012,1,23,06.0,07.50,29242.25,29242.3125,2.333,9,1
2012,1,23,09.0,10.50,29242.375,29242.4375,0.667,3,1
2012,1,23,12.0,13.50,29242.5,29242.5625,0.667,3,1
2012,1,23,15.0,16.50,29242.625,29242.6875,0.667,3,1
2012,1,23,18.0,19.50,29242.75,29242.8125,0,0,1
2012,1,23,21.0,22.50,29242.875,29242.9375,1,4,1
2012,1,24,00.0,01.50,29243,29243.0625,4,27,1
2012,1,24,03.0,04.50,29243.125,29243.1875,2.667,12,1
2012,1,24,06.0,07.50,29243.25,29243.3125,1.333,5,1
2012,1,24,09.0,10.50,29243.375,29243.4375,1.333,5,1
2012,1,24,12.0,13.50,29243.5,29243.5625,2,7,1
2012,1,24,15.0,16.50,29243.625,29243.6875,4.333,32,1
2012,1,24,18.0,19.50,29243.75,29243.8125,4.333,32,1
2012,1,24,21.0,22.50,29243.875,29243.9375,3.667,22,1
2012,1,25,00.0,01.50,29244,29244.0625,3,15,1
2012,1,25,03.0,04.50,29244.125,29244.1875,4,27,1
2012,1,25,06.0,07.50,29244.25,29244.3125,3.333,18,1
2012,1,25,09.0,10.50,29244.375,29244.4375,4.333,32,1
2012,1,25,12.0,13.50,29244.5,29244.5625,3,15,1
2012,1,25,15.0,16.50,29244.625,29244.6875,2,7,1
2012,1,25,18.0,19.50,29244.75,29244.8125,1.667,6,1
2012,1,25,21.0,22.50,29244.875,29244.9375,2.333,9,1
2012,1,26,00.0,01.50,29245,29245.0625,2.333,9,1
2012,1,26,03.0,04.50,29245.125,29245.1875,0.333,2,1
2012,1,26,06.0,07.50,29245.25,29245.3125,2,7,1
2012,1,26,09.0,10.50,29245.375,29245.4375,2.333,9,1
2012,1,26,12.0,13.50,29245.5,29245.5625,1.667,6,1
2012,1,26,15.0,16.50,29245.625,29245.6875,2.667,12,1
2012,1,26,18.0,19.50,29245.75,29245.8125,2,7,1
2012,1,26,21.0,22.50,29245.875,29245.9375,1.333,5,1
2012,1,27,00.0,01.50,29246,29246.0625,1.667,6,1
2012,1,27,03.0,04.50,29246.125,29246.1875,1.667,6,1
2012,1,27,06.0,07.50,29246.25,29246.3125,3,15,1
2012,1,27,09.0,10.50,29246.375,29246.4375,2,7,1
2012,1,27,12.0,13.50,29246.5,29246.5625,2.333,9,1
2012,1,27,15.0,16.50,29246.625,29246.6875,1.667,6,1
2012,1,27,18.0,19.50,29246.75,29246.8125,1.333,5,1
2012,1,27,21.0,22.50,29246.875,29246.9375,0.333,2,1
2012,1,28,00.0,01.50,29247,29247.0625,2,7,1
2012,1,28,03.0,04.50,29247.125,29247.1875,2.333,9,1
2012,1,28,06.0,07.50,29247.25,29247.3125,1,4,1
2012,1,28,09.0,10.50,29247.375,29247.4375,0.667,3,1
2012,1,28,12.0,13.50,29247.5,29247.5625,0.667,3,1
2012,1,28,15.0,16.50,29247.625,29247.6875,0.333,2,1
2012,1,28,18.0,19.50,29247.75,29247.8125,2.333,9,1
2012,1,28,21.0,22.50,29247.875,29247.9375,2.667,12,1
2012,1,29,00.0,01.50,29248,29248.0625,2.667,12,1
2012,1,29,03.0,04.50,29248.125,29248.1875,2.333,9,1
2012,1,29,06.0,07.50,29248.25,29248.3125,1.667,6,1
2012,1,29,09.0,10.50,29248.375,29248.4375,1,4,1
2012,1,29,12.0,13.50,29248.5,29248.5625,0,0,1
2012,1,29,15.0,16.50,29248.625,29248.6875,1,4,1
2012,1,29,18.0,19.50,29248.75,29248.8125,2,7,1
2012,1,29,21.0,22.50,29248.875,29248.9375,1.333,5,1
2012,1,30,00.0,01.50,29249,29249.0625,0,0,1
2012,1,30,03.0,04.50,29249.125,29249.1875,0,0,1
2012,1,30,06.0,07.50,29249.25,29249.3125,0.667,3,1
2012,1,30,09.0,10.50,29249.375,29249.4375,0,0,1
2012,1,30,12.0,13.50,29249.5,29249.5625,0,0,1
2012,1,30,15.0,16.50,29249.625,29249.6875,3,15,1
2012,1,30,18.0,19.50,29249.75,29249.8125,3.667,22,1
2012,1,30,21.0,22.50,29249.875,29249.9375,3.667,22,1
2012,1,31,00.0,01.50,29250,29250.0625,2.333,9,1
2012,1,31,03.0,04.50,29250.125,29250.1875,1.333,5,1
2012,1,31,06.0,07.50,29250.25,29250.3125,0.667,3,1
2012,1,31,09.0,10.50,29250.375,29250.4375,0.333,2,1
2012,1,31,12.0,13.50,29250.5,29250.5625,0.333,2,1
2012,1,31,15.0,16.50,29250.625,29250.6875,0,0,1
2012,1,31,18.0,19.50,29250.75,29250.8125,0,0,1
2012,1,31,21.0,22.50,29250.875,29250.9375,0.667,3,1
2012,2,1,00.0,01.50,29251,29251.0625,2,7,1
2012,2,1,03.0,04.50,29251.125,29251.1875,2.333,9,1
2012,2,1,06.0,07.50,29251.25,29251.3125,2.333,9,1
2012,2,1,09.0,10.50,29251.375,29251.4375,1.667,6,1
2012,2,1,12.0,13.50,29251.5,29251.5625,1.667,6,1
2012,2,1,15.0,16.50,29251.625,29251.6875,0.333,2,1
2012,2,1,18.0,19.50,29251.75,29251.8125,0.333,2,1
2012,2,1,21.0,22.50,29251.875,29251.9375,0.667,3,1
2012,2,2,00.0,01.50,29252,29252.0625,1.333,5,1
2012,2,2,03.0,04.50,29252.125,29252.1875,1.667,6,1
2012,2,2,06.0,07.50,29252.25,29252.3125,1.333,5,1
2012,2,2,09.0,10.50,29252.375,29252.4375,1.333,5,1
2012,2,2,12.0,13.50,29252.5,29252.5625,1,4,1
2012,2,2,15.0,16.50,29252.625,29252.6875,0,0,1
2012,2,2,18.0,19.50,29252.75,29252.8125,1,4,1
2012,2,2,21.0,22.50,29252.875,29252.9375,1.667,6,1
2012,2,3,00.0,01.50,29253,29253.0625,2.333,9,1
2012,2,3,03.0,04.50,29253.125,29253.1875,2,7,1
2012,2,3,06.0,07.50,29253.25,29253.3125,1.333,5,1
2012,2,3,09.0,10.50,29253.375,29253.4375,1.667,6,1
2012,2,3,12.0,13.50,29253.5,29253.5625,2.333,9,1
2012,2,3,15.0,16.50,29253.625,29253.6875,1.333,5,1
2012,2,3,18.0,19.50,29253.75,29253.8125,0.667,3,1
2012,2,3,21.0,22.50,29253.875,29253.9375,0.333,2,1
2012,2,4,00.0,01.50,29254,29254.0625,2.333,9,1
2012,2,4,03.0,04.50,29254.125,29254.1875,2.667,12,1
2012,2,4,06.0,07.50,29254.25,29254.3125,2.333,9,1
2012,2,4,09.0,10.50,29254.375,29254.4375,2,7,1
2012,2,4,12.0,13.50,29254.5,29254.5625,2.667,12,1
2012,2,4,15.0,16.50,29254.625,29254.6875,2,7,1
2012,2,4,18.0,19.50,29254.75,29254.8125,2,7,1
2012,2,4,21.0,22.50,29254.875,29254.9375,2.667,12,1
2012,2,5,00.0,01.50,29255,29255.0625,2.667,12,1
2012,2,5,03.0,04.50,29255.125,29255.1875,1.667,6,1
2012,2,5,06.0,07.50,29255.25,29255.3125,1,4,1
2012,2,5,09.0,10.50,29255.375,29255.4375,1.667,6,1
2012,2,5,12.0,13.50,29255.5,29255.5625,2.667,12,1
2012,2,5,15.0,16.50,29255.625,29255.6875,1.667,6,1
2012,2,5,18.0,19.50,29255.75,29255.8125,3,15,1
2012,2,5,21.0,22.50,29255.875,29255.9375,2,7,1
2012,2,6,00.0,01.50,29256,29256.0625,1.667,6,1
2012,2,6,03.0,04.50,29256.125,29256.1875,2.333,9,1
2012,2,6,06.0,07.50,29256.25,29256.3125,1.333,5,1
2012,2,6,09.0,10.50,29256.375,29256.4375,0.667,3,1
2012,2,6,12.0,13.50,29256.5,29256.5625,1.333,5,1
2012,2,6,15.0,16.50,29256.625,29256.6875,3,15,1
2012,2,6,18.0,19.50,29256.75,29256.8125,2.333,9,1
2012,2,6,21.0,22.50,29256.875,29256.9375,1.333,5,1
2012,2,7,00.0,01.50,29257,29257.0625,2,7,1
2012,2,7,03.0,04.50,29257.125,29257.1875,2.667,12,1
2012,2,7,06.0,07.50,29257.25,29257.3125,2,7,1
2012,2,7,09.0,10.50,29257.375,29257.4375,3.333,18,1
2012,2,7,12.0,13.50,29257.5,29257.5625,3,15,1
2012,2,7,15.0,16.50,29257.625,29257.6875,2.333,9,1
2012,2,7,18.0,19.50,29257.75,29257.8125,4,27,1
2012,2,7,21.0,22.50,29257.875,29257.9375,3.667,22,1
2012,2,8,00.0,01.50,29258,29258.0625,4,27,1
2012,2,8,03.0,04.50,29258.125,29258.1875,2.333,9,1
2012,2,8,06.0,07.50,29258.25,29258.3125,2.667,12,1
2012,2,8,09.0,10.50,29258.375,29258.4375,2,7,1
2012,2,8,12.0,13.50,29258.5,29258.5625,2.333,9,1
2012,2,8,15.0,16.50,29258.625,29258.6875,1.333,5,1
2012,2,8,18.0,19.50,29258.75,29258.8125,2.667,12,1
2012,2,8,21.0,22.50,29258.875,29258.9375,1.667,6,1
2012,2,9,00.0,01.50,29259,29259.0625,1.667,6,1
2012,2,9,03.0,04.50,29259.125,29259.1875,0.667,3,1
2012,2,9,06.0,07.50,29259.25,29259.3125,0,0,1
2012,2,9,09.0,10.50,29259.375,29259.4375,1.333,5,1
2012,2,9,12.0,13.50,29259.5,29259.5625,2,7,1
2012,2,9,15.0,16.50,29259.625,29259.6875,1.667,6,1
2012,2,9,18.0,19.50,29259.75,29259.8125,2.667,12,1
2012,2,9,21.0,22.50,29259.875,29259.9375,1,4,1
2012,2,10,00.0,01.50,29260,29260.0625,0.667,3,1
2012,2,10,03.0,04.50,29260.125,29260.1875,1,4,1
2012,2,10,06.0,07.50,29260.25,29260.3125,1.333,5,1
2012,2,10,09.0,10.50,29260.375,29260.4375,0.667,3,1
2012,2,10,12.0,13.50,29260.5,29260.5625,1.333,5,1
2012,2,10,15.0,16.50,29260.625,29260.6875,0.667,3,1
2012,2,10,18.0,19.50,29260.75,29260.8125,2,7,1
2012,2,10,21.0,22.50,29260.875,29260.9375,2.333,9,1
2012,2,11,00.0,01.50,29261,29261.0625,2.667,12,1
2012,2,11,03.0,04.50,29261.125,29261.1875,1.333,5,1
2012,2,11,06.0,07.50,29261.25,29261.3125,1,4,1
2012,2,11,09.0,10.50,29261.375,29261.4375,0.333,2,1
2012,2,11,12.0,13.50,29261.5,29261.5625,0.667,3,1
2012,2,11,15.0,16.50,29261.625,29261.6875,0.333,2,1
2012,2,11,18.0,19.50,29261.75,29261.8125,1.333,5,1
2012,2,11,21.0,22.50,29261.875,29261.9375,1,4,1
2012,2,12,00.0,01.50,29262,29262.0625,1.667,6,1
2012,2,12,03.0,04.50,29262.125,29262.1875,1.333,5,1
2012,2,12,06.0,07.50,29262.25,29262.3125,0,0,1
2012,2,12,09.0,10.50,29262.375,29262.4375,0.667,3,1
2012,2,12,12.0,13.50,29262.5,29262.5625,0.667,3,1
2012,2,12,15.0,16.50,29262.625,29262.6875,1.333,5,1
2012,2,12,18.0,19.50,29262.75,29262.8125,1,4,1
2012,2,12,21.0,22.50,29262.875,29262.9375,1,4,1
2012,2,13,00.0,01.50,29263,29263.0625,1,4,1
2012,2,13,03.0,04.50,29263.125,29263.1875,1.333,5,1
2012,2,13,06.0,07.50,29263.25,29263.3125,3,15,1
2012,2,13,09.0,10.50,29263.375,29263.4375,2.333,9,1
2012,2,13,12.0,13.50,29263.5,29263.5625,3,15,1
2012,2,13,15.0,16.50,29263.625,29263.6875,2.667,12,1
2012,2,13,18.0,19.50,29263.75,29263.8125,2,7,1
2012,2,13,21.0,22.50,29263.875,29263.9375,2.667,12,1
2012,2,14,00.0,01.50,29264,29264.0625,2.667,12,1
2012,2,14,03.0,04.50,29264.125,29264.1875,2.667,12,1
2012,2,14,06.0,07.50,29264.25,29264.3125,2,7,1
2012,2,14,09.0,10.50,29264.375,29264.4375,1.667,6,1
2012,2,14,12.0,13.50,29264.5,29264.5625,2,7,1
2012,2,14,15.0,16.50,29264.625,29264.6875,2.667,12,1
2012,2,14,18.0,19.50,29264.75,29264.8125,3,15,1
2012,2,14,21.0,22.50,29264.875,29264.9375,4,27,1
2012,2,15,00.0,01.50,29265,29265.0625,2.333,9,1
2012,2,15,03.0,04.50,29265.125,29265.1875,5.333,56,1
2012,2,15,06.0,07.50,29265.25,29265.3125,3.667,22,1
2012,2,15,09.0,10.50,29265.375,29265.4375,3.333,18,1
2012,2,15,12.0,13.50,29265.5,29265.5625,2.667,12,1
2012,2,15,15.0,16.50,29265.625,29265.6875,3,15,1
2012,2,15,18.0,19.50,29265.75,29265.8125,3.333,18,1
2012,2,15,21.0,22.50,29265.875,29265.9375,3.667,22,1
2012,2,16,00.0,01.50,29266,29266.0625,2.333,9,1
2012,2,16,03.0,04.50,29266.125,29266.1875,0,0,1
2012,2,16,06.0,07.50,29266.25,29266.3125,1.333,5,1
2012,2,16,09.0,10.50,29266.375,29266.4375,1.667,6,1
2012,2,16,12.0,13.50,29266.5,29266.5625,2,7,1
2012,2,16,15.0,16.50,29266.625,29266.6875,0.333,2,1
2012,2,16,18.0,19.50,29266.75,29266.8125,0,0,1
2012,2,16,21.0,22.50,29266.875,29266.9375,0,0,1
2012,2,17,00.0,01.50,29267,29267.0625,0,0,1
2012,2,17,03.0,04.50,29267.125,29267.1875,0.333,2,1
2012,2,17,06.0,07.50,29267.25,29267.3125,1.333,5,1
2012,2,17,09.0,10.50,29267.375,29267.4375,0.667,3,1
2012,2,17,12.0,13.50,29267.5,29267.5625,0,0,1
2012,2,17,15.0,16.50,29267.625,29267.6875,0,0,1
2012,2,17,18.0,19.50,29267.75,29267.8125,0,0,1
2012,2,17,21.0,22.50,29267.875,29267.9375,0,0,1
2012,2,18,00.0,01.50,29268,29268.0625,0,0,1
2012,2,18,03.0,04.50,29268.125,29268.1875,0,0,1
2012,2,18,06.0,07.50,29268.25,29268.3125,0,0,1
2012,2,18,09.0,10.50,29268.375,29268.4375,0.333,2,1
2012,2,18,12.0,13.50,29268.5,29268.5625,0,0,1
2012,2,18,15.0,16.50,29268.625,29268.6875,0.667,3,1
2012,2,18,18.0,19.50,29268.75,29268.8125,1.667,6,1
2012,2,18,21.0,22.50,29268.875,29268.9375,3.667,22,1
2012,2,19,00.0,01.50,29269,29269.0625,5,48,1
2012,2,19,03.0,04.50,29269.125,29269.1875,5.667,67,1
2012,2,19,06.0,07.50,29269.25,29269.3125,2.333,9,1
2012,2,19,09.0,10.50,29269.375,29269.4375,2,7,1
2012,2,19,12.0,13.50,29269.5,29269.5625,1.333,5,1
2012,2,19,15.0,16.50,29269.625,29269.6875,1.667,6,1
2012,2,19,18.0,19.50,29269.75,29269.8125,2,7,1
2012,2,19,21.0,22.50,29269.875,29269.9375,3.333,18,1
2012,2,20,00.0,01.50,29270,29270.0625,3.333,18,1
2012,2,20,03.0,04.50,29270.125,29270.1875,4.667,39,1
2012,2,20,06.0,07.50,29270.25,29270.3125,3,15,1
2012,2,20,09.0,10.50,29270.375,29270.4375,3,15,1
2012,2,20,12.0,13.50,29270.5,29270.5625,3.333,18,1
2012,2,20,15.0,16.50,29270.625,29270.6875,3.333,18,1
2012,2,20,18.0,19.50,29270.75,29270.8125,3,15,1
2012,2,20,21.0,22.50,29270.875,29270.9375,3.333,18,1
2012,2,21,00.0,01.50,29271,29271.0625,3.333,18,1
2012,2,21,03.0,04.50,29271.125,29271.1875,2.333,9,1
2012,2,21,06.0,07.50,29271.25,29271.3125,1.667,6,1
2012,2,21,09.0,10.50,29271.375,29271.4375,1.667,6,1
2012,2,21,12.0,13.50,29271.5,29271.5625,0.667,3,1
2012,2,21,15.0,16.50,29271.625,29271.6875,1,4,1
2012,2,21,18.0,19.50,29271.75,29271.8125,0.667,3,1
2012,2,21,21.0,22.50,29271.875,29271.9375,2,7,1
2012,2,22,00.0,01.50,29272,29272.0625,3.333,18,1
2012,2,22,03.0,04.50,29272.125,29272.1875,3.333,18,1
2012,2,22,06.0,07.50,29272.25,29272.3125,3.333,18,1
2012,2,22,09.0,10.50,29272.375,29272.4375,3,15,1
2012,2,22,12.0,13.50,29272.5,29272.5625,2.333,9,1
